state_code,state,puma_code,puma,county_code,county,population,cases,deaths,cases_per_100k,deaths_per_100k,allocation_factor,total_native_citizen_non_hispanic,total_naturalized_citizen_hispanic,total_non_citizen_hispanic,total_native_citizen_hispanic,total_naturalized_citizen_non_hispanic,total_non_citizen_non_hispanic,total_native_citizen,total_naturalized_citizen,total_non_citizen,total_foreign_non_hispanic,total_foreign_hispanic,total_foreign,total_employees,pct_native_citizen_non_hispanic,pct_native_citizen_hispanic,pct_total_foreign_non_hispanic,pct_total_foreign_hispanic,pct_naturalized_citizen_non_hispanic,pct_naturalized_citizen_hispanic,pct_non_citizen_non_hispanic,pct_non_citizen_hispanic,pct_native_citizen,pct_total_foreign,pct_naturalized_citizen,pct_non_citizen
01,Alabama/AL,0100100,"Lauderdale, Colbert, Franklin & Marion (Northeast) Counties PUMA, Alabama/AL",01033,"Colbert County, Alabama",54495,1641,26,3011,48,0.292,353,119,117,0,0,0,353,119,117,0,236,236,589,60,0,0,40,0,20,0,20,60,40,20,20
01,Alabama/AL,0100100,"Lauderdale, Colbert, Franklin & Marion (Northeast) Counties PUMA, Alabama/AL",01059,"Franklin County, Alabama",31542,1767,29,5602,92,0.17,206,69,68,0,0,0,206,69,68,0,137,137,343,60,0,0,40,0,20,0,20,60,40,20,20
01,Alabama/AL,0100100,"Lauderdale, Colbert, Franklin & Marion (Northeast) Counties PUMA, Alabama/AL",01077,"Lauderdale County, Alabama",92585,1698,33,1834,36,0.497,601,202,198,0,0,0,601,202,198,0,400,400,1001,60,0,0,40,0,20,0,20,60,40,20,20
01,Alabama/AL,0100100,"Lauderdale, Colbert, Franklin & Marion (Northeast) Counties PUMA, Alabama/AL",01093,"Marion County, Alabama",29965,957,29,3194,97,0.041,50,17,16,0,0,0,50,17,16,0,33,33,83,60,0,0,40,0,20,0,19,60,40,20,19
01,Alabama/AL,0100200,"Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest) PUMA, Alabama/AL",01083,"Limestone County, Alabama",93052,2088,20,2244,21,0.494,262,10,33,0,0,0,262,10,33,0,43,43,305,86,0,0,14,0,3,0,11,86,14,3,11
01,Alabama/AL,0100200,"Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest) PUMA, Alabama/AL",01089,"Madison County, Alabama",357560,7820,78,2187,22,0.506,268,11,34,0,0,0,268,11,34,0,45,45,313,86,0,0,14,0,4,0,11,86,14,4,11
01,Alabama/AL,0100301,"Huntsville (North) & Madison (East) Cities PUMA, Alabama/AL",01089,"Madison County, Alabama",357560,7820,78,2187,22,1,325,0,0,0,0,0,325,0,0,0,0,0,325,100,0,0,0,0,0,0,0,100,0,0,0
01,Alabama/AL,0100302,"Huntsville City (Central & South) PUMA, Alabama/AL",01089,"Madison County, Alabama",357560,7820,78,2187,22,1,178,0,11,36,0,0,214,0,11,0,11,11,225,79,16,0,5,0,0,0,5,95,5,0,5
01,Alabama/AL,0100400,"DeKalb & Jackson Counties PUMA, Alabama/AL",01049,"DeKalb County, Alabama",71200,2406,20,3379,28,0.576,401,22,363,188,0,0,589,22,363,0,385,385,974,41,19,0,40,0,2,0,37,60,40,2,37
01,Alabama/AL,0100400,"DeKalb & Jackson Counties PUMA, Alabama/AL",01071,"Jackson County, Alabama",52094,1560,11,2995,21,0.424,296,17,268,138,0,0,434,17,268,0,285,285,719,41,19,0,40,0,2,0,37,60,40,2,37
01,Alabama/AL,0100500,"Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast) PUMA, Alabama/AL",01089,"Madison County, Alabama",357560,7820,78,2187,22,0.221,266,31,197,23,3,65,289,34,262,68,228,296,585,45,4,12,39,1,5,11,34,49,51,6,45
01,Alabama/AL,0100500,"Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast) PUMA, Alabama/AL",01095,"Marshall County, Alabama",95145,3933,43,4134,45,0.779,936,108,696,82,10,229,1018,118,925,239,804,1043,2061,45,4,12,39,0,5,11,34,49,51,6,45
01,Alabama/AL,0100600,"Morgan & Lawrence Counties--Decatur City PUMA, Alabama/AL",01079,"Lawrence County, Alabama",33171,616,23,1857,69,0.218,234,0,24,15,0,26,249,0,50,26,24,50,299,78,5,9,8,0,0,9,8,83,17,0,17
01,Alabama/AL,0100600,"Morgan & Lawrence Counties--Decatur City PUMA, Alabama/AL",01103,"Morgan County, Alabama",119122,3273,28,2748,24,0.782,841,0,88,53,0,94,894,0,182,94,88,182,1076,78,5,9,8,0,0,9,8,83,17,0,17
01,Alabama/AL,0100700,"Cullman & Winston Counties PUMA, Alabama/AL",01043,"Cullman County, Alabama",82313,1890,20,2296,24,0.776,540,0,47,1,0,0,541,0,47,0,47,47,588,92,0,0,8,0,0,0,8,92,8,0,8
01,Alabama/AL,0100700,"Cullman & Winston Counties PUMA, Alabama/AL",01133,"Winston County, Alabama",23875,738,12,3091,50,0.224,156,0,14,0,0,0,156,0,14,0,14,14,170,92,0,0,8,0,0,0,8,92,8,0,8
01,Alabama/AL,0100800,"St. Clair & Blount Counties PUMA, Alabama/AL",01009,"Blount County, Alabama",57645,1608,15,2789,26,0.396,238,34,52,14,0,0,252,34,52,0,86,86,338,70,4,0,25,0,10,0,15,75,25,10,15
