state_code,state,puma_code,puma,total_native_citizen_non_hispanic,total_naturalized_citizen_hispanic,total_non_citizen_hispanic,total_native_citizen_hispanic,total_naturalized_citizen_non_hispanic,total_non_citizen_non_hispanic,total_native_citizen,total_naturalized_citizen,total_non_citizen,total_foreign_non_hispanic,total_foreign_hispanic,total_foreign,total_employees,pct_native_citizen_non_hispanic,pct_native_citizen_hispanic,pct_total_foreign_non_hispanic,pct_total_foreign_hispanic,pct_naturalized_citizen_non_hispanic,pct_naturalized_citizen_hispanic,pct_non_citizen_non_hispanic,pct_non_citizen_hispanic,pct_native_citizen,pct_total_foreign,pct_naturalized_citizen,pct_non_citizen
01,Alabama/AL,0100100,"Lauderdale, Colbert, Franklin & Marion (Northeast) Counties PUMA, Alabama/AL",1210,406,399,0,0,0,1210,406,399,0,805,805,2015,60,0,0,40,0,20,0,20,60,40,20,20
01,Alabama/AL,0100200,"Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest) PUMA, Alabama/AL",530,21,67,0,0,0,530,21,67,0,88,88,618,86,0,0,14,0,3,0,11,86,14,3,11
01,Alabama/AL,0100301,"Huntsville (North) & Madison (East) Cities PUMA, Alabama/AL",325,0,0,0,0,0,325,0,0,0,0,0,325,100,0,0,0,0,0,0,0,100,0,0,0
01,Alabama/AL,0100302,"Huntsville City (Central & South) PUMA, Alabama/AL",178,0,11,36,0,0,214,0,11,0,11,11,225,79,16,0,5,0,0,0,5,95,5,0,5
01,Alabama/AL,0100400,"DeKalb & Jackson Counties PUMA, Alabama/AL",697,39,631,326,0,0,1023,39,631,0,670,670,1693,41,19,0,40,0,2,0,37,60,40,2,37
01,Alabama/AL,0100500,"Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast) PUMA, Alabama/AL",1202,139,893,105,13,294,1307,152,1187,307,1032,1339,2646,45,4,12,39,0,5,11,34,49,51,6,45
01,Alabama/AL,0100600,"Morgan & Lawrence Counties--Decatur City PUMA, Alabama/AL",1075,0,112,68,0,120,1143,0,232,120,112,232,1375,78,5,9,8,0,0,9,8,83,17,0,17
01,Alabama/AL,0100700,"Cullman & Winston Counties PUMA, Alabama/AL",696,0,61,1,0,0,697,0,61,0,61,61,758,92,0,0,8,0,0,0,8,92,8,0,8
01,Alabama/AL,0100800,"St. Clair & Blount Counties PUMA, Alabama/AL",602,87,131,35,0,0,637,87,131,0,218,218,855,70,4,0,25,0,10,0,15,75,25,10,15
01,Alabama/AL,0100900,"Etowah County PUMA, Alabama/AL",908,45,59,55,6,0,963,51,59,6,104,110,1073,85,5,1,10,1,4,0,5,90,10,5,5
01,Alabama/AL,0101000,"Talladega, Cherokee, Randolph, Cleburne & Clay Counties PUMA, Alabama/AL",691,0,0,46,0,0,737,0,0,0,0,0,737,94,6,0,0,0,0,0,0,100,0,0,0
01,Alabama/AL,0101100,"Calhoun County PUMA, Alabama/AL",574,0,47,4,0,0,578,0,47,0,47,47,625,92,1,0,8,0,0,0,8,92,8,0,8
01,Alabama/AL,0101200,"Shelby County PUMA, Alabama/AL",123,0,116,0,0,0,123,0,116,0,116,116,239,51,0,0,49,0,0,0,49,51,49,0,49
01,Alabama/AL,0101301,"Birmingham City (West) PUMA, Alabama/AL",203,0,19,0,0,0,203,0,19,0,19,19,222,91,0,0,9,0,0,0,9,91,9,0,9
01,Alabama/AL,0101302,"Birmingham City (East) PUMA, Alabama/AL",234,0,109,0,0,0,234,0,109,0,109,109,343,68,0,0,32,0,0,0,32,68,32,0,32
01,Alabama/AL,0101303,"Jefferson County (Southeast)--Hoover (North), Vestavia Hills & Homewood Cities PUMA, Alabama/AL",136,0,33,13,0,0,149,0,33,0,33,33,182,75,7,0,18,0,0,0,18,82,18,0,18
01,Alabama/AL,0101304,"Jefferson County (Northeast)--Trussville, Center Point & Gardendale Cities PUMA, Alabama/AL",363,17,0,0,0,0,363,17,0,0,17,17,380,96,0,0,4,0,4,0,0,96,4,4,0
01,Alabama/AL,0101305,"Jefferson County (West)--Bessemer, Hueytown & Pleasant Grove Cities PUMA, Alabama/AL",74,0,0,0,0,0,74,0,0,0,0,0,74,100,0,0,0,0,0,0,0,100,0,0,0
01,Alabama/AL,0101400,"Walker, Marion (South & West), Fayette & Lamar Counties PUMA, Alabama/AL",339,0,0,0,0,0,339,0,0,0,0,0,339,100,0,0,0,0,0,0,0,100,0,0,0
